Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Linedun,@KuysManskie,2025-04-11T03:05:46.000Z,False,"Ang pagboto kay Philip Salvador at Willie Revillame this 2025 ay senyales na di tayo natuto kay Robin Padilla noong 2022. Para tayong sirang plaka, paulit-ulit na lang. Nakakainit ng ulo. #VoteWisely this May. #Halalan2025",57,1.3K,3.7K,107K,"['#VoteWisely', '#Halalan2025']",[],[],https://pbs.twimg.com/profile_images/1940033244885295104/c09H1_eB_bigger.jpg,https://x.com/KuysManskie/status/1910529679813206128,tweet_id:1910529679813206128
iMPACT Leadership,@iMPACTPH2019,2025-03-06T09:58:32.000Z,True,"'I CANNOT VOTE FOR WILLIE REVILLAME'

PANOORIN: Ipinaliwanag ni Chris Tan sa kanyang vlog kung bakit hindi niya iboboto ang television host na si Willie Revillame bilang senador sa #Halalan2025. Sang-ayon ba kayo sa kanya? Contributed video",98,1K,3.7K,174K,['#Halalan2025'],[],['\\U0001f3a5'],https://pbs.twimg.com/profile_images/1713681702726651904/8YeAQ_vn_bigger.jpg,https://x.com/iMPACTPH2019/status/1897587594340585979,tweet_id:1897587594340585979
A. Ron,@ar_evz,2025-03-04T09:13:14.000Z,False,"Willie Revillame para may idea ka. Hindi yung pag tinanong ka kung anong batas ang gagawin mo pag nahalal ka sasagot ka ng:

“Ikaw, sa palagay mo?, babalik ko sayo ang tanong”
“ang dami ng batas na nagawa, pero umunlad ba?”#Halalan2025",0,11,46,3.2K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1966696428505591808/va1fkyIL_bigger.jpg,https://x.com/ar_evz/status/1896851418885341470,tweet_id:1896851418885341470
ABS-CBN News,@ABSCBNNews,2025-02-21T02:56:15.000Z,True,"TINGNAN: Dumating na sa Comelec office sa Intramuros, Maynila ang misis ni Doc Willie Ong na si Dr. Liza para pormal na ihain ang Statement of Withdrawal ng kaniyang asawa bilang kandidatong senador. #Halalan2025 | via ",10,8,78,66K,['#Halalan2025'],['@JohnsonManabat'],[],https://pbs.twimg.com/profile_images/1414904727674920961/aRgHKXj5_bigger.jpg,https://x.com/ABSCBNNews/status/1892770282475041208,tweet_id:1892770282475041208
Detective Mask 名探偵マスク,@DetectiveMask,2025-02-13T01:42:24.000Z,True,"I was very critical of Doc Willie Ong's Senate run because it seemed like he was using his cancer to gain sympathy votes.

I'm glad he's stepping back and focusing on making himself get better. And I hope his family and friends would be there to give their support.#Halalan2025",0,2,23,3.5K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1953317529147064321/FvP6R5yU_bigger.jpg,https://x.com/DetectiveMask/status/1889852594153202038,tweet_id:1889852594153202038
Kat Domingo,@_katrinadomingo,2025-02-13T01:14:58.000Z,False,"JUST IN: Doc Willie Ong  withdraws his #Halalan2025 candidacy for senator.

Ong: “I am officially withdrawing my candidacy for the 2025 elections so I can focus more on taking care of my health.”",1,6,30,3.6K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1901671693984407552/5GxkrDTk_bigger.jpg,https://x.com/_katrinadomingo/status/1889845690685374964,tweet_id:1889845690685374964
ABS-CBN News,@ABSCBNNews,2025-02-13T01:05:32.000Z,True,"JUST IN: Willie Ong is withdrawing from his Senate run for #Halalan2025 to “focus more on taking care of my health”, the doctor announced in his social media account.

“I sincerely thank all the people who supported me and prayed for me,” he said.

“I will continue to support",142,253,1.5K,180K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1414904727674920961/aRgHKXj5_bigger.jpg,https://x.com/ABSCBNNews/status/1889843316289896749,tweet_id:1889843316289896749
Dalagang Pilipina,@fierceLady08,2025-02-11T14:23:24.000Z,False,MABUHAY ANG MGA OFW! VOTE STRAIGHT TAYO PDP LABAN wag kalimutan ATTY. VIC RODRIGUEZ and ATTY. RODANTE MARCOLETA para sa SENADO! SILA ANG TUNAY NA KAKAMPI NG TAUMBAYAN! #Halalan2025#PDPLaban,25,111,436,23K,"['#Halalan2025', '#PDPLaban']",[],"['\\U0001f44a\\U0001f3fb', '\\U0001f1f5\\U0001f1ed', '\\U0001f49a']",https://pbs.twimg.com/profile_images/1970244803918286848/oPZUu0al_bigger.jpg,https://x.com/fierceLady08/status/1889319328144875647,tweet_id:1889319328144875647
Kulotissima,@kulotissima,2025-02-11T03:16:11.000Z,True,"Iwan niyo na sina Sotto at Revillame sa showbiz.

Susmaryosep Pilipinas. 
Stop making the Senate the retirement home ng mga laos na artista.  #Halalan2025",2,17,41,2.9K,['#Halalan2025'],[],['\\U0001f62b'],https://pbs.twimg.com/profile_images/1527492412058255373/CLTqBpMD_bigger.jpg,https://x.com/kulotissima/status/1889151418709504454,tweet_id:1889151418709504454
Kulotissima,@kulotissima,2025-02-09T04:38:38.000Z,True,"Vote Bong Rodriguez for Camarines Sur Governor sa #Halalan2025.

Para lalong mapikon si L-Ray.",0,181,1.1K,27K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1527492412058255373/CLTqBpMD_bigger.jpg,https://x.com/kulotissima/status/1888447391965274546,tweet_id:1888447391965274546
Thirty One Million,@31milmovement,2025-02-01T20:31:53.000Z,True,"""If he believed in what he was saying, why did he work for me?"" - President  

This is the reason bakit talo si Weak Rodriguez sa debate na to and sa #Halalan2025: Walang Prinsipyo",37,36,185,28K,['#Halalan2025'],['@bongbongmarcos'],[],https://pbs.twimg.com/profile_images/1546719549881745409/mGVKFfP8_bigger.jpg,https://x.com/31milmovement/status/1885788183486763519,tweet_id:1885788183486763519
